feature,observation_dates,series_count,gap_count,median_gap_days,gap_p90_days,max_gap_days,irregularity_ratio,frequency_label
economy_of_new_zealand_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
european_central_bank_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
european_central_bank_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
european_central_bank_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
federal_reserve_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
federal_reserve_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
federal_reserve_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
financial_crisis_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
financial_crisis_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
financial_crisis_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
fiscal_policy_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
fiscal_policy_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
fiscal_policy_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
fonterra_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
fonterra_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
fonterra_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
forestry_in_new_zealand_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
forestry_in_new_zealand_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
forestry_in_new_zealand_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
free_trade_agreement_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
free_trade_agreement_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
free_trade_agreement_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
gold_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
gold_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
gold_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
government_debt_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
government_debt_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
government_debt_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
great_depression_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
great_depression_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
great_depression_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
high,16546,140,590136,1.0,3.0,29.0,0.9255267568153958,daily
house_price_index_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
house_price_index_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
house_price_index_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
housing_market_wiki_views,3941,1,3940,1.0,1.0,2.0,0.022524576378003855,daily
housing_market_wiki_views_desktop,3941,1,3940,1.0,1.0,2.0,0.022524576378003855,daily
housing_market_wiki_views_mobile,3941,1,3940,1.0,1.0,2.0,0.022524576378003855,daily
immediate_interest_rates_call_money_interbank_rate,494,1,493,31.0,31.0,62.0,0.05292844554643985,monthly_or_slower
immigration_to_new_zealand_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
immigration_to_new_zealand_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
immigration_to_new_zealand_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
inflation_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
inflation_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
inflation_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
interest_rate_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
interest_rate_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
interest_rate_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
inverted_yield_curve_wiki_views,3941,1,3940,1.0,1.0,2.0,0.02252457637800385,daily
inverted_yield_curve_wiki_views_desktop,3941,1,3940,1.0,1.0,2.0,0.02252457637800385,daily
inverted_yield_curve_wiki_views_mobile,3941,1,3940,1.0,1.0,2.0,0.02252457637800385,daily
iron_ore_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
