ticker,feature,max_repeat_run,max_repeat_span_days
,market_correction_wiki_views_mobile,5,4.0
,milk_wiki_views,2,1.0
,milk_wiki_views_desktop,2,1.0
,milk_wiki_views_mobile,2,1.0
,monetary_policy_wiki_views,2,1.0
,monetary_policy_wiki_views_desktop,2,1.0
,monetary_policy_wiki_views_mobile,2,1.0
,mortgage_loan_wiki_views,2,1.0
,mortgage_loan_wiki_views_desktop,2,1.0
,mortgage_loan_wiki_views_mobile,2,1.0
,national_debt_of_the_united_states_wiki_views,2,1.0
,national_debt_of_the_united_states_wiki_views_desktop,2,1.0
,national_debt_of_the_united_states_wiki_views_mobile,2,1.0
,natural_gas_wiki_views,2,1.0
,natural_gas_wiki_views_desktop,2,1.0
,natural_gas_wiki_views_mobile,2,1.0
,new_registrations_goods_road_motor_vehicles,1,0.0
,new_registrations_passenger_cars,1,0.0
,new_zealand_dollar_wiki_views,2,1.0
,new_zealand_dollar_wiki_views_desktop,2,1.0
,new_zealand_dollar_wiki_views_mobile,3,2.0
,new_zealand_stock_exchange_wiki_views,5,4.0
,new_zealand_stock_exchange_wiki_views_desktop,7,7.0
,new_zealand_stock_exchange_wiki_views_mobile,12,12.0
,nz_labor_employment_age15_plus_female,0,0.0
,nz_labor_employment_age15_plus_male,0,0.0
,nz_labor_employment_age15_plus_total,0,0.0
,nz_labor_employment_age15to24_male,2,365.0
,nz_labor_employment_age15to64_female,1,0.0
,nz_labor_employment_age15to64_male,1,0.0
,nz_labor_employment_age15to64_total,1,0.0
,nz_labor_employment_pop_ratio_age15_plus_female,0,0.0
,nz_labor_employment_pop_ratio_age15_plus_male,0,0.0
,nz_labor_employment_pop_ratio_age15_plus_total,0,0.0
,nz_labor_employment_pop_ratio_age15to64_female,2,365.0
,nz_labor_employment_pop_ratio_age15to64_male,2,365.0
,nz_labor_employment_pop_ratio_age15to64_total,1,0.0
,nz_labor_employment_pop_ratio_gap_age15_plus_male,0,0.0
,nz_labor_employment_pop_ratio_gap_age15to64_male,1,0.0
,nz_labor_labor_force_age15_plus_female,0,0.0
